Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8, C9",0603,9,0.1u,
D1,D_SOD-128,1,PBR5LAM60ATR,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D3, D6, D7, D8, D9",0603,21,LED,
"J1, J2",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Counter_Clockwise,
"J10, J11, J6, J7",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,4,RMC,
"J12, J13, J14, J15, J16, J17, J18, J19",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,8,Conn_01x04,
J3,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,+5V Vin,
J4,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,UART/I2C,
J5,PinSocket_1x02_P2.54mm_Vertical,1,CANR,
"J8, J9",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,CAN1,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R8, R9",0603,21,1k,
"R4, R5, R7",0603,3,120,
SW1,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,1,SW_DIP_x02,
SW2,FanPinHeader_1x03_P2.54mm_Vertical,1,SW_SPDT,
U1,TO-252-2,1,NJM2391DL1-33,
U2,Teensy40,1,Teensy4.0,
"U3, U4",DIP-8_W7.62mm,2,MCP2561-E-P,
