Designator,Mid X,Mid Y,Rotation,Layer
C1,148.145,-105.38,0.0,top
C2,148.145,-107.89,0.0,top
C3,148.145,-110.4,0.0,top
C4,148.145,-112.91,0.0,top
C5,148.145,-115.42,0.0,top
C6,156.95,-64.835,90.0,top
C7,151.025,-73.4,0.0,top
C8,161.26,-131.415,0.0,top
C9,152.135,-125.64,270.0,top
D1,125.378,-143.895,90.0,top
D10,170.135,-85.705,180.0,top
D11,170.135,-83.205,180.0,top
D12,170.135,-72.205,180.0,top
D13,170.135,-69.705,180.0,top
D14,129.715,-69.705,0.0,top
D15,129.715,-72.205,0.0,top
D16,129.715,-83.205,0.0,top
D17,129.715,-85.705,0.0,top
D18,129.715,-96.705,0.0,top
D19,129.715,-99.205,0.0,top
D2,146.1,-74.0875,270.0,top
D20,129.715,-110.205,0.0,top
D21,129.715,-112.705,0.0,top
D22,118.7125,-141.6,180.0,top
D23,151.4125,-122.5,180.0,top
D24,151.4125,-128.0,180.0,top
D3,154.9,-74.0875,270.0,top
D6,170.135,-112.705,180.0,top
D7,170.135,-110.205,180.0,top
D8,170.135,-99.205,180.0,top
D9,170.135,-96.705,180.0,top
J1,179.85,-59.765,0.0,top
J10,145.925,-56.945,180.0,top
J11,137.475,-56.945,180.0,top
J12,173.175,-111.455,90.0,top
J13,173.175,-97.955,90.0,top
J14,173.175,-84.455,90.0,top
J15,173.175,-70.955,90.0,top
J16,126.62,-70.955,270.0,top
J17,126.62,-84.455,270.0,top
J18,126.62,-97.955,270.0,top
J19,126.62,-111.455,270.0,top
J2,119.945,-59.765,180.0,top
J3,126.62,-136.405,270.0,top
J4,173.175,-138.605,90.0,top
J5,168.22,-122.575,0.0,top
J6,162.875,-56.945,180.0,top
J7,154.375,-56.945,180.0,top
J8,126.62,-125.055,270.0,top
J9,173.175,-125.055,90.0,top
R1,147.6,-74.125,90.0,top
R10,170.175,-101.705,180.0,top
R11,170.175,-94.205,180.0,top
R12,170.175,-88.205,180.0,top
R13,170.175,-80.705,180.0,top
R14,170.175,-74.705,180.0,top
R15,170.175,-67.205,180.0,top
R16,129.675,-67.205,0.0,top
R17,129.675,-74.705,0.0,top
R18,129.675,-80.705,0.0,top
R19,129.675,-88.205,0.0,top
R2,153.4,-74.125,90.0,top
R20,129.675,-94.205,0.0,top
R21,129.675,-101.705,0.0,top
R22,129.675,-107.705,0.0,top
R23,129.675,-115.205,0.0,top
R24,118.6875,-143.3,180.0,top
R25,151.375,-121.0,0.0,top
R26,151.4,-129.5,0.0,top
R4,163.535,-125.615,90.0,top
R5,132.4,-57.725,90.0,top
R7,150.455,-62.02,180.0,top
R8,170.175,-115.205,180.0,top
R9,170.175,-107.705,180.0,top
SW1,139.63,-142.565,270.0,top
SW2,131.358,-144.2,0.0,top
U1,140.385,-126.48,0.0,top
U2,150.175,-98.925,90.0,top
U3,157.825,-125.205,0.0,top
U4,150.47,-67.71,90.0,top
